documento;apiRespondio;mensaje
FPE42769;true;"No se encontraron soportes para el valor consultado."
FPE42770;true;"No se encontraron soportes para el valor consultado."
FPE42768;true;"No se encontraron soportes para el valor consultado."
FPE42776;true;"No se encontraron soportes para el valor consultado."
FPE42772;true;"No se encontraron soportes para el valor consultado."
FPE42778;true;"No se encontraron soportes para el valor consultado."
FPE42779;true;"No se encontraron soportes para el valor consultado."
FPE42780;true;"No se encontraron soportes para el valor consultado."
FPE42782;true;"No se encontraron soportes para el valor consultado."
FPE42785;true;"No se encontraron soportes para el valor consultado."
FPE42791;true;"No se encontraron soportes para el valor consultado."
FPE42793;true;"No se encontraron soportes para el valor consultado."
FPE42794;true;"No se encontraron soportes para el valor consultado."
FPE42795;true;"No se encontraron soportes para el valor consultado."
FPE42796;true;"No se encontraron soportes para el valor consultado."
FPE42798;true;"No se encontraron soportes para el valor consultado."
FPE42801;true;"No se encontraron soportes para el valor consultado."
FPE42802;true;"No se encontraron soportes para el valor consultado."
FPE42803;true;"No se encontraron soportes para el valor consultado."
FPE42808;true;"No se encontraron soportes para el valor consultado."
FPE42804;true;"No se encontraron soportes para el valor consultado."
FPE42809;true;"No se encontraron soportes para el valor consultado."
FPE42812;true;"No se encontraron soportes para el valor consultado."
FPE42814;true;"No se encontraron soportes para el valor consultado."
FPE42813;true;"No se encontraron soportes para el valor consultado."
FPE42815;true;"No se encontraron soportes para el valor consultado."
FPE42817;true;"No se encontraron soportes para el valor consultado."
FPE42818;true;"No se encontraron soportes para el valor consultado."
FPE42821;true;"No se encontraron soportes para el valor consultado."
FPE42824;true;"No se encontraron soportes para el valor consultado."
FPE42825;true;"No se encontraron soportes para el valor consultado."
FPE42829;true;"No se encontraron soportes para el valor consultado."
FPE42826;true;"No se encontraron soportes para el valor consultado."
FPE42828;true;"No se encontraron soportes para el valor consultado."
FPE42830;true;"No se encontraron soportes para el valor consultado."
FPE42832;true;"No se encontraron soportes para el valor consultado."
FPE42837;true;"No se encontraron soportes para el valor consultado."
FPE42838;true;"No se encontraron soportes para el valor consultado."
FPE42839;true;"No se encontraron soportes para el valor consultado."
FPE42841;true;"No se encontraron soportes para el valor consultado."
FPE42843;true;"No se encontraron soportes para el valor consultado."
FPE42845;true;"No se encontraron soportes para el valor consultado."
FPE42847;true;"No se encontraron soportes para el valor consultado."
FPE42849;true;"No se encontraron soportes para el valor consultado."
FPE42850;true;"No se encontraron soportes para el valor consultado."
FPE42851;true;"No se encontraron soportes para el valor consultado."
FPE42854;true;"No se encontraron soportes para el valor consultado."
FPE42857;true;"No se encontraron soportes para el valor consultado."
FPE42860;true;"No se encontraron soportes para el valor consultado."
FPE42858;true;"No se encontraron soportes para el valor consultado."
FPE42861;true;"No se encontraron soportes para el valor consultado."
FPE42867;true;"No se encontraron soportes para el valor consultado."
FPE42868;true;"No se encontraron soportes para el valor consultado."
FPE42870;true;"No se encontraron soportes para el valor consultado."
FPE42872;true;"No se encontraron soportes para el valor consultado."
FPE42875;true;"No se encontraron soportes para el valor consultado."
FPE42876;true;"No se encontraron soportes para el valor consultado."
FPE42882;true;"No se encontraron soportes para el valor consultado."
FPE42883;true;"No se encontraron soportes para el valor consultado."
FPE42884;true;"No se encontraron soportes para el valor consultado."
FPE42886;true;"No se encontraron soportes para el valor consultado."
FPE42887;true;"No se encontraron soportes para el valor consultado."
FPE42890;true;"No se encontraron soportes para el valor consultado."
FPE42892;true;"No se encontraron soportes para el valor consultado."
FPE42895;true;"No se encontraron soportes para el valor consultado."
FPE42896;true;"No se encontraron soportes para el valor consultado."
FPE42897;true;"No se encontraron soportes para el valor consultado."
FPE42899;true;"No se encontraron soportes para el valor consultado."
FPE42901;true;"No se encontraron soportes para el valor consultado."
FPE42903;true;"No se encontraron soportes para el valor consultado."
FPE42905;true;"No se encontraron soportes para el valor consultado."
FPE42908;true;"No se encontraron soportes para el valor consultado."
FPE42909;true;"No se encontraron soportes para el valor consultado."
FPE45213;true;"No se encontraron soportes para el valor consultado."
FPE45215;true;"No se encontraron soportes para el valor consultado."
FPE45214;true;"No se encontraron soportes para el valor consultado."
FPE45216;true;"No se encontraron soportes para el valor consultado."
FPE45217;true;"No se encontraron soportes para el valor consultado."
FPE45219;true;"No se encontraron soportes para el valor consultado."
FPE45220;true;"No se encontraron soportes para el valor consultado."
FPE45222;true;"No se encontraron soportes para el valor consultado."
FPE45223;true;"No se encontraron soportes para el valor consultado."
FPE45225;true;"No se encontraron soportes para el valor consultado."
FPE45226;true;"No se encontraron soportes para el valor consultado."
FPE45228;true;"No se encontraron soportes para el valor consultado."
FPE45229;true;"No se encontraron soportes para el valor consultado."
FPE45230;true;"No se encontraron soportes para el valor consultado."
FPE45233;true;"No se encontraron soportes para el valor consultado."
FPE45234;true;"No se encontraron soportes para el valor consultado."
FPE45235;true;"No se encontraron soportes para el valor consultado."
FPE45236;true;"No se encontraron soportes para el valor consultado."
